Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-OCT-2023,613.6,615.8,608.65,610.7,9820302,654.1
17-OCT-2023,612.85,614.05,607.6,610.9,7622214,535.03
18-OCT-2023,610.65,611.6,602.95,608.05,8655843,592.18
19-OCT-2023,606.2,607.95,598.95,605.9,7529455,503.16
20-OCT-2023,603.65,608.4,593.6,599.35,10147311,682.67
23-OCT-2023,598.75,600.4,579.75,584.4,8375851,594.76
25-OCT-2023,583.25,587.75,572.05,578.8,24125244,1214.95
26-OCT-2023,575.75,575.75,559.2,571.85,15697701,929.12
27-OCT-2023,575.45,586.25,575.35,583,34848776,1619.93
30-OCT-2023,584.45,597.6,582.35,595.45,25381871,1378.55
31-OCT-2023,598.25,607.2,597.95,603,20736483,1247.72
01-NOV-2023,603.85,616.45,603.85,612.35,20128988,1323.98
02-NOV-2023,614.1,630.75,614.1,627.8,13470504,1161.78
03-NOV-2023,629.35,644.4,628.3,643.75,18113661,1547.44
06-NOV-2023,651,656.65,647.1,651.5,13904517,1134.27
07-NOV-2023,652.15,653.2,640.55,642.8,10261826,792.04
08-NOV-2023,646.55,654.65,641.8,652.55,14235288,984.17
09-NOV-2023,655.65,666.15,655.15,660.6,21228524,1771.35
10-NOV-2023,659.6,666.7,656.15,662.1,20929448,1395.91
12-NOV-2023,668.25,669.35,664.8,666.15,5084134,280.71
13-NOV-2023,665.9,666.5,660.25,663.45,29179063,1548.68
15-NOV-2023,671.05,684.3,670.8,683.05,16659357,1632.82
16-NOV-2023,684.65,690.65,682.4,689.35,11951867,1090.57
17-NOV-2023,689.8,694.05,687.85,692.7,11517351,1005.68
20-NOV-2023,695.5,700.75,689.8,691,12509337,1195.89
21-NOV-2023,694.2,703.45,694.05,698.8,14897783,1342.01
22-NOV-2023,699.1,699.55,684.6,693.95,9314949,784.98
23-NOV-2023,696.2,705.15,695.65,701.1,10868991,950.69
24-NOV-2023,703.6,706.65,700.55,702.95,9487105,834.29
28-NOV-2023,703.65,708,700.35,706.95,12427772,987.35
29-NOV-2023,712.1,712.95,701.65,703.45,11246623,892.4
30-NOV-2023,705.05,717.05,698.4,713.6,60916174,5397.06
01-DEC-2023,717.85,732.05,717.3,723.05,13480822,1173.31
04-DEC-2023,734.75,743,727.2,737.75,21531033,1731.57
05-DEC-2023,742.15,742.45,727.8,734.35,26476438,1704.87
06-DEC-2023,735.75,737.95,726.9,732.2,20385717,1347.78
07-DEC-2023,735.2,737.35,730.35,734.8,9024033,766.85
08-DEC-2023,736.5,747.45,730.35,738.7,34370361,2279.55
11-DEC-2023,739.95,747.9,739.75,744.95,19607198,1439.95
12-DEC-2023,747.9,749.2,729.8,731.95,14795310,1212.83
13-DEC-2023,736,748.6,727.95,743.7,12829078,1137.01
14-DEC-2023,752,773.7,751.15,772.55,30765968,2455.97
15-DEC-2023,775.1,777.45,765.1,767.05,24646329,1931.35
18-DEC-2023,769.25,769.25,757.75,759.7,9979891,913.02
19-DEC-2023,760.25,764.55,753.8,755.65,13143958,1026.59
20-DEC-2023,759.75,760.85,734.55,737.3,17490414,1334.68
21-DEC-2023,731.05,745.9,722.45,744.1,17925462,1248.02
22-DEC-2023,748.05,765.05,746.8,763.05,16890111,1304.57
26-DEC-2023,766.6,767.15,760.4,764.9,11031197,857.34
27-DEC-2023,767.5,772.55,766.1,770.1,25556870,1700.73
28-DEC-2023,772.25,779.05,766.4,777.4,15536620,1205.55
29-DEC-2023,778.2,784.5,772.55,783.05,13758680,1022.23
01-JAN-2024,781.45,789,779.4,786.6,7052108,568.78
02-JAN-2024,788.45,790.75,774.3,778.45,8112765,697.31
03-JAN-2024,778.45,790.5,773.75,788,10252533,1026.78
04-JAN-2024,791.4,844.4,789.95,841.3,53113042,5545.74
05-JAN-2024,842.75,863,839.85,844.35,34632502,3312.38
08-JAN-2024,846.35,855.75,841.3,845.45,28107379,2359.49
09-JAN-2024,852.65,869.25,850.5,866.75,28475905,2440.74
10-JAN-2024,868.65,868.65,853.15,865.8,13672722,1362.14
11-JAN-2024,867.8,870.95,862.05,865.45,14942267,1642.33
12-JAN-2024,871.45,885.25,868.2,881.05,19801272,1862.27
15-JAN-2024,886.55,894.4,880.05,883.3,13654336,1332.28
16-JAN-2024,885.1,885.1,860.55,868.6,11589074,1134.05
17-JAN-2024,855.45,861.95,848.05,856.3,12955826,1234.67
18-JAN-2024,852,863.45,830.1,862.5,20336814,2126.89
19-JAN-2024,869.75,871.8,862.85,868.5,17896151,1560.8
20-JAN-2024,870.9,875.3,859.95,861.95,11528173,915.82
23-JAN-2024,867.35,867.6,811.55,816.15,35019356,3339.12
24-JAN-2024,815.95,822.2,794.5,818.1,22359807,2248.46
25-JAN-2024,827.1,831.1,810.85,823.55,20984578,1865.69
29-JAN-2024,825.05,837.3,819.45,833.9,19458710,1845.13
30-JAN-2024,840.05,847.6,831.6,837.1,23731308,2027.79
31-JAN-2024,838.55,858.55,835.25,856.2,20588696,1733.35
01-FEB-2024,856.35,857.35,841.8,848.15,15058235,1308.85
02-FEB-2024,853,868.35,849.35,856.2,24158188,2037.52
05-FEB-2024,854.2,871.7,853.9,862.75,14107676,1462.18
06-FEB-2024,867.55,868.9,855.3,866.25,11426876,1341.51
07-FEB-2024,876.85,892.8,874.95,882.15,16692129,1762.99
08-FEB-2024,882.1,883.45,873.35,876.05,11310310,1222.77
09-FEB-2024,877.8,878.75,855.65,875.95,20149685,1714.2
12-FEB-2024,876.45,878.55,847.05,849.95,12861330,1313.24
13-FEB-2024,850.25,852.85,833.85,850.4,11505790,1239.46
14-FEB-2024,838.2,865.9,836.3,861,10535956,1012.6
15-FEB-2024,866.75,877.75,863.45,869.4,13281261,1332.35
16-FEB-2024,875.65,885.35,867,882.7,12769849,1223.79
19-FEB-2024,885.3,886.4,872,876.8,8195957,827.62
20-FEB-2024,879.9,894.45,879.9,887,11210575,1182.39
21-FEB-2024,889.65,913.4,888.75,904.75,22871936,2397.08
22-FEB-2024,910.05,911.5,898.55,909.65,12230502,1335.14
23-FEB-2024,916.55,925.25,912.85,918.75,11988257,1443.66
26-FEB-2024,919.7,925.15,907.25,919.35,10739666,1537.16
27-FEB-2024,920.15,931.55,917.95,929.15,18713954,1897.61
28-FEB-2024,929.4,932.1,899.5,909.5,10518045,1188.27
29-FEB-2024,909.2,915.45,894.45,910.55,42036503,4314.94
01-MAR-2024,913.2,919.65,907.25,917.1,12411760,1400.45
02-MAR-2024,922.05,926.9,919.45,925.95,4086815,324.36
04-MAR-2024,929.85,936,923.75,927.45,17765169,1858.15
05-MAR-2024,927.85,936.3,925.2,930.35,9564514,1087.18
06-MAR-2024,929.7,930.2,901.75,917.85,12927705,1359.78
07-MAR-2024,920.55,925.25,912.6,916.5,7534494,824.33
11-MAR-2024,921.9,935.15,903.6,906.55,12672597,1339.6
12-MAR-2024,911.9,913.35,870.2,872.9,34568795,2968.95
13-MAR-2024,871.1,882.8,814.7,826.5,44605906,3395.54
14-MAR-2024,815.85,836.5,808.45,831.55,19253806,1867.72
15-MAR-2024,833.45,846.65,818.65,830.15,28454743,2716.04
18-MAR-2024,829.8,842.4,821,834.05,13538011,1339.27
19-MAR-2024,838.75,839.7,821.15,829.2,13599758,1382.45
20-MAR-2024,833,840.65,819.75,834.35,10338050,979.81
21-MAR-2024,845.35,861.05,840.35,859.4,12375399,1261.56
22-MAR-2024,863.5,876.8,860.4,874.5,12555449,1267.1
